from	to
CTNNB1	JUN
CTNNB1	MYC
CTNNB1	SMAD2
CTNNB1	SMAD3
CTNNB1	SRC
CTNNB1	TP53
ITGB3	SRC
ITGB3	TP53
JUN	MYC
JUN	PTEN
JUN	SMAD3
JUN	TP53
MYC	PTEN
MYC	SMAD2
MYC	SMAD3
MYC	TP53
PTEN	CTNNB1
PTEN	ITGB3
PTEN	MYC
PTEN	SMAD3
PTEN	SRC
PTEN	TP53
SMAD2	JUN
SMAD2	MYC
SMAD2	SMAD3
SMAD2	TP53
SMAD3	JUN
SMAD3	MYC
SMAD3	PTEN
SMAD3	SMAD2
SMAD3	TP53
SRC	CTNNB1
SRC	ITGB3
SRC	JUN
SRC	MYC
SRC	PTEN
SRC	SMAD3
SRC	TP53
TGFB3	CTNNB1
TGFB3	ITGB3
TGFB3	PTEN
TGFB3	SMAD2
TGFB3	SMAD3
TP53	CTNNB1
TP53	JUN
TP53	PTEN
TP53	SMAD3
CTNNB1	CCL20
JUN	CCL20
MYC	CCL20
PTEN	CCL20
TGFB3	CCL20
TP53	CCL20
