from	to
AR	SMAD3
AR	TP53
CAV1	AR
CAV1	ITGB3
CAV1	PTEN
CAV1	SMAD2
CAV1	SMAD3
CAV1	SRC
ITGB3	CAV1
ITGB3	SRC
ITGB3	TP53
PTEN	AR
PTEN	ITGB3
PTEN	SMAD3
PTEN	SRC
PTEN	STAT5A
PTEN	TP53
SMAD2	AR
SMAD2	CAV1
SMAD2	SMAD3
SMAD2	TP53
SMAD3	AR
SMAD3	CAV1
SMAD3	PTEN
SMAD3	SMAD2
SMAD3	TP53
SRC	AR
SRC	CAV1
SRC	ITGB3
SRC	PTEN
SRC	SMAD3
SRC	STAT5A
SRC	TP53
TGFB3	CAV1
TGFB3	ITGB3
TGFB3	PTEN
TGFB3	SMAD2
TGFB3	SMAD3
TP53	AR
TP53	CAV1
TP53	PTEN
TP53	SMAD3
AR	CXCL13
CAV1	CXCL13
PTEN	CXCL13
STAT5A	CXCL13
TGFB3	CXCL13
TP53	CXCL13
