from	to
AR	EGFR
AR	EP300
AR	MAPK1
AR	MYC
AR	STAT1
AR	STAT3
AR	TP53
EGFR	AR
EGFR	MAPK1
EGFR	MYC
EGFR	STAT1
EGFR	STAT2
EGFR	STAT3
EP300	AR
EP300	MAPK8
EP300	MYC
EP300	STAT2
EP300	STAT3
EP300	TP53
MAPK1	AR
MAPK1	EGFR
MAPK1	EP300
MAPK1	MAPK8
MAPK1	MYC
MAPK1	STAT1
MAPK1	STAT2
MAPK1	STAT3
MAPK1	TP53
MAPK8	AR
MAPK8	EGFR
MAPK8	EP300
MAPK8	MAPK1
MAPK8	MYC
MAPK8	STAT1
MAPK8	STAT2
MAPK8	STAT3
MAPK8	TP53
MYC	AR
MYC	EGFR
MYC	EP300
MYC	TP53
STAT1	EP300
STAT1	MAPK1
STAT1	MYC
STAT1	STAT2
STAT1	STAT3
STAT2	EP300
STAT2	MYC
STAT2	STAT1
STAT3	AR
STAT3	EGFR
STAT3	EP300
STAT3	MAPK1
STAT3	MAPK8
STAT3	MYC
STAT3	STAT1
STAT3	STAT2
TNF	AR
TNF	EGFR
TNF	EP300
TNF	MAPK1
TNF	MAPK8
TNF	MYC
TNF	STAT1
TNF	STAT2
TNF	STAT3
TNF	TP53
TP53	AR
TP53	EGFR
TP53	EP300
TP53	MAPK1
TP53	MAPK8
TP53	STAT1
AR	ANGPTL2
EP300	ANGPTL2
MYC	ANGPTL2
STAT2	ANGPTL2
STAT3	ANGPTL2
TP53	ANGPTL2
