from	to
EGFR	MAPK1
EGFR	NFKB1
EGFR	RELA
EGFR	SP1
EGFR	STAT1
EGFR	STAT3
MAPK1	EGFR
MAPK1	NFKB1
MAPK1	RELA
MAPK1	SP1
MAPK1	STAT1
MAPK1	STAT3
NFKB1	EGFR
NFKB1	MAPK1
NFKB1	RELA
NFKB1	STAT1
NFKB1	STAT3
RELA	MAPK1
RELA	NFKB1
RELA	SP1
SP1	EGFR
SP1	NFKB1
SP1	STAT1
SP1	STAT3
STAT1	MAPK1
STAT1	RELA
STAT1	SP1
STAT1	STAT3
STAT3	EGFR
STAT3	MAPK1
STAT3	NFKB1
STAT3	RELA
STAT3	SP1
STAT3	STAT1
TNF	EGFR
TNF	MAPK1
TNF	NFKB1
TNF	RELA
TNF	SP1
TNF	STAT1
TNF	STAT3
NFKB1	BMP2
RELA	BMP2
SP1	BMP2
STAT1	BMP2
STAT3	BMP2
TNF	BMP2
