from	to
AHR	CTNNB1
AHR	EGFR
AHR	MYC
AHR	RARA
CTNNB1	AHR
CTNNB1	EGFR
CTNNB1	JUN
CTNNB1	MYC
CTNNB1	RELA
CTNNB1	STAT3
EGFR	CTNNB1
EGFR	JUN
EGFR	MYC
EGFR	RELA
EGFR	STAT3
JUN	MYC
JUN	RARA
JUN	STAT3
MAPK8	CTNNB1
MAPK8	EGFR
MAPK8	JUN
MAPK8	MYC
MAPK8	RARA
MAPK8	RELA
MAPK8	STAT3
MYC	AHR
MYC	EGFR
MYC	RARA
MYC	RELA
RARA	CTNNB1
RARA	EGFR
RARA	JUN
RARA	MYC
RARA	RELA
RARA	STAT3
RELA	AHR
RELA	CTNNB1
RELA	JUN
RELA	MYC
RELA	RARA
STAT3	CTNNB1
STAT3	EGFR
STAT3	JUN
STAT3	MAPK8
STAT3	MYC
STAT3	RARA
STAT3	RELA
TNF	AHR
TNF	CTNNB1
TNF	EGFR
TNF	JUN
TNF	MAPK8
TNF	MYC
TNF	RARA
TNF	RELA
TNF	STAT3
AHR	CCL24
CTNNB1	CCL24
JUN	CCL24
MYC	CCL24
RARA	CCL24
STAT3	CCL24
