from	to
AR	EGFR
AR	ESR1
AR	MAPK1
AR	NFKB1
AR	STAT3
ATM	CHUK
ATM	E2F1
ATM	NFKB1
ATM	STAT3
CHUK	E2F1
CHUK	ESR1
CHUK	GSK3B
CHUK	NFKB1
CHUK	STAT3
E2F1	AR
E2F1	ATM
E2F1	NFKB1
E2F1	STAT3
EGFR	AR
EGFR	ATM
EGFR	E2F1
EGFR	ESR1
EGFR	GSK3B
EGFR	MAPK1
EGFR	NFKB1
EGFR	STAT3
ESR1	AR
ESR1	E2F1
ESR1	EGFR
ESR1	GSK3B
ESR1	MAPK1
ESR1	NFKB1
ESR1	STAT3
GSK3B	AR
GSK3B	CHUK
GSK3B	E2F1
GSK3B	EGFR
GSK3B	ESR1
GSK3B	MAPK1
GSK3B	NFKB1
GSK3B	STAT3
MAPK1	AR
MAPK1	E2F1
MAPK1	EGFR
MAPK1	ESR1
MAPK1	GSK3B
MAPK1	NFKB1
MAPK1	STAT3
NFKB1	AR
NFKB1	CHUK
NFKB1	E2F1
NFKB1	EGFR
NFKB1	MAPK1
NFKB1	STAT3
STAT3	AR
STAT3	E2F1
STAT3	EGFR
STAT3	ESR1
STAT3	MAPK1
STAT3	NFKB1
TNF	AR
TNF	ATM
TNF	CHUK
TNF	E2F1
TNF	EGFR
TNF	ESR1
TNF	GSK3B
TNF	MAPK1
TNF	NFKB1
TNF	STAT3
AR	CKLF
ATM	CKLF
E2F1	CKLF
ESR1	CKLF
NFKB1	CKLF
STAT3	CKLF
