from	to
EGFR	JUN
EGFR	MYC
EGFR	NFKB1
EGFR	STAT3
EGFR	STAT5A
JUN	MYC
JUN	STAT3
JUN	STAT5A
JUN	TP53
MAPK8	EGFR
MAPK8	JUN
MAPK8	MYC
MAPK8	STAT3
MAPK8	STAT5A
MAPK8	TP53
MYC	EGFR
MYC	NFKB1
MYC	TP53
NFKB1	EGFR
NFKB1	JUN
NFKB1	MAPK8
NFKB1	MYC
NFKB1	STAT3
NFKB1	STAT5A
NFKB1	TP53
STAT3	EGFR
STAT3	JUN
STAT3	MAPK8
STAT3	MYC
STAT3	NFKB1
STAT3	STAT5A
STAT5A	JUN
STAT5A	MYC
STAT5A	NFKB1
STAT5A	STAT3
TNF	EGFR
TNF	JUN
TNF	MAPK8
TNF	MYC
TNF	NFKB1
TNF	STAT3
TNF	STAT5A
TNF	TP53
TP53	EGFR
TP53	JUN
TP53	MAPK8
TP53	NFKB1
JUN	CMTM6
MYC	CMTM6
NFKB1	CMTM6
STAT3	CMTM6
STAT5A	CMTM6
TP53	CMTM6
