from	to
AR	EP300
AR	HNF4A
AR	MAPK1
AR	STAT1
AR	TP53
EP300	AR
EP300	TP53
HNF4A	AR
HNF4A	EP300
HNF4A	STAT1
HNF4A	TP53
MAPK1	AR
MAPK1	EP300
MAPK1	HNF4A
MAPK1	MAPK14
MAPK1	STAT1
MAPK1	TP53
MAPK14	AR
MAPK14	EP300
MAPK14	HNF4A
MAPK14	MAPK1
MAPK14	STAT1
MAPK14	TP53
STAT1	EP300
STAT1	HNF4A
STAT1	MAPK1
STAT1	MAPK14
TNF	AR
TNF	EP300
TNF	HNF4A
TNF	MAPK1
TNF	MAPK14
TNF	STAT1
TNF	TP53
TP53	AR
TP53	EP300
TP53	HNF4A
TP53	MAPK1
TP53	MAPK14
TP53	STAT1
AR	CX3CL1
EP300	CX3CL1
HNF4A	CX3CL1
STAT1	CX3CL1
TNF	CX3CL1
TP53	CX3CL1
