from	to
EGFR	JUN
EGFR	MAPK1
EGFR	MYC
EGFR	STAT1
EGFR	STAT3
EP300	JUN
EP300	MAPK8
EP300	MYC
EP300	STAT3
JUN	EP300
JUN	MAPK1
JUN	MYC
JUN	STAT3
MAPK1	EGFR
MAPK1	EP300
MAPK1	JUN
MAPK1	MAPK8
MAPK1	MYC
MAPK1	STAT1
MAPK1	STAT3
MAPK8	EGFR
MAPK8	EP300
MAPK8	JUN
MAPK8	MAPK1
MAPK8	MYC
MAPK8	STAT1
MAPK8	STAT3
MYC	EGFR
MYC	EP300
STAT1	EP300
STAT1	JUN
STAT1	MAPK1
STAT1	MYC
STAT1	STAT3
STAT3	EGFR
STAT3	EP300
STAT3	JUN
STAT3	MAPK1
STAT3	MAPK8
STAT3	MYC
STAT3	STAT1
TNF	EGFR
TNF	EP300
TNF	JUN
TNF	MAPK1
TNF	MAPK8
TNF	MYC
TNF	STAT1
TNF	STAT3
EP300	CXCL16
JUN	CXCL16
MYC	CXCL16
STAT1	CXCL16
STAT3	CXCL16
TNF	CXCL16
