from	to
CHUK	HIF1A
CHUK	NFKB1
CHUK	REL
CHUK	RELA
HIF1A	CHUK
HIF1A	JUN
HIF1A	JUND
HIF1A	MAPK1
HIF1A	NFKB1
HIF1A	REL
HIF1A	RELA
JUN	HIF1A
JUN	MAPK1
JUN	REL
JUND	HIF1A
JUND	JUN
JUND	NFKB1
MAPK1	HIF1A
MAPK1	JUN
MAPK1	JUND
MAPK1	MAPK8
MAPK1	NFKB1
MAPK1	REL
MAPK1	RELA
MAPK8	HIF1A
MAPK8	JUN
MAPK8	JUND
MAPK8	MAPK1
MAPK8	REL
MAPK8	RELA
NFKB1	CHUK
NFKB1	JUN
NFKB1	JUND
NFKB1	MAPK1
NFKB1	MAPK8
NFKB1	REL
NFKB1	RELA
REL	HIF1A
REL	JUN
REL	NFKB1
RELA	JUN
RELA	MAPK1
RELA	NFKB1
RELA	REL
TNF	CHUK
TNF	HIF1A
TNF	JUN
TNF	JUND
TNF	MAPK1
TNF	MAPK8
TNF	NFKB1
TNF	REL
TNF	RELA
HIF1A	IL17C
JUN	IL17C
JUND	IL17C
NFKB1	IL17C
REL	IL17C
RELA	IL17C
