from	to
CHUK	ESR1
CHUK	HNF4A
CHUK	MYC
CHUK	STAT1
CREB1	EGR1
CREB1	HNF4A
CREB1	MYC
EGR1	MYC
EGR1	STAT1
ESR1	CREB1
ESR1	HNF4A
ESR1	MAPK14
ESR1	MYC
ESR1	STAT1
HNF4A	CHUK
HNF4A	CREB1
HNF4A	MYC
HNF4A	STAT1
MAPK14	CHUK
MAPK14	CREB1
MAPK14	EGR1
MAPK14	ESR1
MAPK14	HNF4A
MAPK14	MAPK8
MAPK14	MYC
MAPK14	STAT1
MAPK8	CREB1
MAPK8	EGR1
MAPK8	ESR1
MAPK8	HNF4A
MAPK8	MAPK14
MAPK8	MYC
MAPK8	STAT1
MYC	CREB1
MYC	EGR1
MYC	HNF4A
STAT1	EGR1
STAT1	ESR1
STAT1	HNF4A
STAT1	MAPK14
STAT1	MYC
TNF	CHUK
TNF	CREB1
TNF	EGR1
TNF	ESR1
TNF	HNF4A
TNF	MAPK14
TNF	MAPK8
TNF	MYC
TNF	STAT1
CREB1	IL17D
EGR1	IL17D
ESR1	IL17D
HNF4A	IL17D
MYC	IL17D
STAT1	IL17D
