from	to
HIF1A	JUN
HIF1A	MAPK1
HIF1A	MYC
HIF1A	NFKB1
HIF1A	PPARG
HIF1A	TP53
JUN	HIF1A
JUN	MAPK1
JUN	MYC
JUN	TP53
MAPK1	HIF1A
MAPK1	JUN
MAPK1	MAPK8
MAPK1	MYC
MAPK1	NFKB1
MAPK1	PPARG
MAPK1	TP53
MAPK8	HIF1A
MAPK8	JUN
MAPK8	MAPK1
MAPK8	MYC
MAPK8	PPARG
MAPK8	TP53
MYC	NFKB1
MYC	TP53
NFKB1	JUN
NFKB1	MAPK1
NFKB1	MAPK8
NFKB1	MYC
NFKB1	TP53
PPARG	JUN
PPARG	MAPK1
PPARG	NFKB1
PPARG	TP53
TNF	HIF1A
TNF	JUN
TNF	MAPK1
TNF	MAPK8
TNF	MYC
TNF	NFKB1
TNF	PPARG
TNF	TP53
TP53	HIF1A
TP53	JUN
TP53	MAPK1
TP53	MAPK8
TP53	NFKB1
HIF1A	IL34
JUN	IL34
MYC	IL34
NFKB1	IL34
PPARG	IL34
TP53	IL34
