from	to
CREB1	CTNNB1
CREB1	EP300
CREB1	HNF4A
CREB1	MYC
CTNNB1	EP300
CTNNB1	HNF4A
CTNNB1	JUN
CTNNB1	MAPK1
CTNNB1	MYC
EP300	CREB1
EP300	CTNNB1
EP300	JUN
EP300	MAPK8
EP300	MYC
HNF4A	CREB1
HNF4A	CTNNB1
HNF4A	EP300
HNF4A	JUN
HNF4A	MYC
JUN	CREB1
JUN	EP300
JUN	HNF4A
JUN	MAPK1
JUN	MYC
MAPK1	CREB1
MAPK1	CTNNB1
MAPK1	EP300
MAPK1	HNF4A
MAPK1	JUN
MAPK1	MAPK14
MAPK1	MAPK8
MAPK1	MYC
MAPK14	CREB1
MAPK14	CTNNB1
MAPK14	EP300
MAPK14	HNF4A
MAPK14	JUN
MAPK14	MAPK1
MAPK14	MAPK8
MAPK14	MYC
MAPK8	CREB1
MAPK8	CTNNB1
MAPK8	EP300
MAPK8	HNF4A
MAPK8	JUN
MAPK8	MAPK1
MAPK8	MAPK14
MAPK8	MYC
MYC	CREB1
MYC	EP300
MYC	HNF4A
TNF	CREB1
TNF	CTNNB1
TNF	EP300
TNF	HNF4A
TNF	JUN
TNF	MAPK1
TNF	MAPK14
TNF	MAPK8
TNF	MYC
CREB1	MST1
CTNNB1	MST1
EP300	MST1
HNF4A	MST1
JUN	MST1
MYC	MST1
