from	to
EGFR	HIF1A
EGFR	MAPK1
EGFR	MYC
EGFR	SP1
EGFR	STAT3
EGFR	STAT5A
HIF1A	EGFR
HIF1A	MAPK1
HIF1A	MYC
HIF1A	SP1
HSF1	STAT3
MAPK1	EGFR
MAPK1	HIF1A
MAPK1	HSF1
MAPK1	MAPK8
MAPK1	MYC
MAPK1	SP1
MAPK1	STAT3
MAPK1	STAT5A
MAPK8	EGFR
MAPK8	HIF1A
MAPK8	HSF1
MAPK8	MAPK1
MAPK8	MYC
MAPK8	SP1
MAPK8	STAT3
MAPK8	STAT5A
MYC	EGFR
MYC	SP1
SP1	EGFR
SP1	HIF1A
SP1	HSF1
SP1	MYC
SP1	STAT3
STAT3	EGFR
STAT3	HIF1A
STAT3	HSF1
STAT3	MAPK1
STAT3	MAPK8
STAT3	MYC
STAT3	SP1
STAT3	STAT5A
STAT5A	MAPK1
STAT5A	MYC
STAT5A	STAT3
TNF	EGFR
TNF	HIF1A
TNF	HSF1
TNF	MAPK1
TNF	MAPK8
TNF	MYC
TNF	SP1
TNF	STAT3
TNF	STAT5A
HIF1A	NTF4
HSF1	NTF4
MYC	NTF4
SP1	NTF4
STAT3	NTF4
STAT5A	NTF4
