from	to
ATF2	CREB1
ATF2	CTNNB1
ATF2	MAPK1
ATF2	MAPK8
CREB1	ATF2
CREB1	CTNNB1
CREB1	EP300
CREB1	MYC
CTNNB1	ATF2
CTNNB1	EP300
CTNNB1	MAPK1
CTNNB1	MYC
EP300	ATF2
EP300	CREB1
EP300	CTNNB1
EP300	MAPK8
EP300	MYC
MAPK1	ATF2
MAPK1	CREB1
MAPK1	CTNNB1
MAPK1	EP300
MAPK1	MAPK8
MAPK1	MYC
MAPK8	ATF2
MAPK8	CREB1
MAPK8	CTNNB1
MAPK8	EP300
MAPK8	MAPK1
MAPK8	MYC
MYC	ATF2
MYC	CREB1
MYC	EP300
TNF	ATF2
TNF	CREB1
TNF	CTNNB1
TNF	EP300
TNF	MAPK1
TNF	MAPK8
TNF	MYC
ATF2	TGFB2
CREB1	TGFB2
CTNNB1	TGFB2
EP300	TGFB2
MYC	TGFB2
TNF	TGFB2
