from	to
AR	CREB1
AR	CTNNB1
AR	HNF4A
AR	MAPK1
AR	TP53
CREB1	CTNNB1
CREB1	HNF4A
CREB1	TP53
CTNNB1	AR
CTNNB1	HNF4A
CTNNB1	MAPK1
CTNNB1	TP53
HNF4A	AR
HNF4A	CREB1
HNF4A	CTNNB1
HNF4A	TP53
MAPK1	AR
MAPK1	CREB1
MAPK1	CTNNB1
MAPK1	HNF4A
MAPK1	MAPK14
MAPK1	TP53
MAPK14	AR
MAPK14	CREB1
MAPK14	CTNNB1
MAPK14	HNF4A
MAPK14	MAPK1
MAPK14	TP53
TNF	AR
TNF	CREB1
TNF	CTNNB1
TNF	HNF4A
TNF	MAPK1
TNF	MAPK14
TNF	TP53
TP53	AR
TP53	CTNNB1
TP53	HNF4A
TP53	MAPK1
TP53	MAPK14
AR	TNFSF12
CREB1	TNFSF12
CTNNB1	TNFSF12
HNF4A	TNFSF12
TNF	TNFSF12
TP53	TNFSF12
