from	to
ETS1	MYC
HIF1A	ETS1
HIF1A	MAPK1
HIF1A	MYC
HIF1A	PTK2
HIF1A	SRC
HIF1A	TP53
MAPK1	ETS1
MAPK1	HIF1A
MAPK1	MYC
MAPK1	PTK2
MAPK1	STAT3
MAPK1	TP53
MYC	PTK2
MYC	TP53
PTK2	MAPK1
PTK2	SRC
PTK2	STAT3
PTK2	TP53
SRC	ETS1
SRC	HIF1A
SRC	MAPK1
SRC	MYC
SRC	PTK2
SRC	STAT3
SRC	TP53
STAT3	HIF1A
STAT3	MAPK1
STAT3	MYC
STAT3	PTK2
STAT3	SRC
TP53	ETS1
TP53	HIF1A
TP53	MAPK1
TP53	PTK2
VEGFA	ETS1
VEGFA	HIF1A
VEGFA	MAPK1
VEGFA	PTK2
VEGFA	SRC
VEGFA	STAT3
VEGFA	TP53
ETS1	BMP4
HIF1A	BMP4
MYC	BMP4
STAT3	BMP4
TP53	BMP4
VEGFA	BMP4
