from	to
AKT1	CREB1
AKT1	HIF1A
AKT1	NFKB1
AKT1	PTK2
AKT1	SRC
AKT1	STAT3
AKT1	TP53
CREB1	NFKB1
CREB1	STAT3
CREB1	TP53
HIF1A	CREB1
HIF1A	NFKB1
HIF1A	PTK2
HIF1A	SRC
HIF1A	TP53
NFKB1	AKT1
NFKB1	CREB1
NFKB1	STAT3
NFKB1	TP53
PTK2	AKT1
PTK2	SRC
PTK2	STAT3
PTK2	TP53
SRC	AKT1
SRC	HIF1A
SRC	NFKB1
SRC	PTK2
SRC	STAT3
SRC	TP53
STAT3	AKT1
STAT3	CREB1
STAT3	HIF1A
STAT3	NFKB1
STAT3	PTK2
STAT3	SRC
TP53	AKT1
TP53	HIF1A
TP53	NFKB1
TP53	PTK2
VEGFA	AKT1
VEGFA	CREB1
VEGFA	HIF1A
VEGFA	NFKB1
VEGFA	PTK2
VEGFA	SRC
VEGFA	STAT3
VEGFA	TP53
AKT1	FGF7
CREB1	FGF7
HIF1A	FGF7
NFKB1	FGF7
STAT3	FGF7
TP53	FGF7
